address,category,type,actu_run,control_model,get_actu_status,sensor_run
0x01,ph,sensor,,,,0x02
0x02,ph,actuator,0x02,linear,0x04,
0x03,lumination,sensor,,,,0x02
0x04,lumination,actuator,0x02,thresold,0x04,
0x05,water_circulation,actuator,0x02,manual,0x04,
0x06,temperature,sensor,,,,0x02
0x07,humidity,sensor,,,,0x03
